"id","title","content","pub_date","source_url","category"
25,"Jamie Foxx remains hospitalized nearly a week after 'medical complication'","Jamie Foxx remains hospitalized in Georgia nearly a week after his daughter revealed the actor experienced a ""medical complication,"" a source with knowledge of the matter told CNN on Monday.","2023-04-18 00:27:07","https://www.cnn.com/2023/04/17/entertainment/jamie-foxx-remains-hospitalized/index.html",NULL
26,"A 13-year-old dies after participating in a Benadryl TikTok 'challenge'","A 13-year-old in Ohio has died after ""he took a bunch of Benadryl,"" trying a dangerous TikTok challenge that's circulating online, according to a CNN affiliate and a GoFundMe account from his family.","2023-04-19 15:01:06","https://www.cnn.com/2023/04/18/us/benadryl-tiktok-challenge-teen-death-wellness/index.html",NULL
27,"See pizza delivery guy take out suspect fleeing police","Pizza guy delivers more than a pie, taking out a fleeing suspect. CNN's Jeanne Moos shows him putting his best foot forward.","2023-04-18 16:40:22","https://www.cnn.com/videos/us/2023/04/18/pizza-guy-trips-perp-moos-cprog-orig-bdk.cnn",NULL
28,"Netflix is winding down its DVD business after 25 years","Netflix is officially winding down the business that helped make it a household name.","2023-04-18 20:10:51","https://www.cnn.com/2023/04/18/media/netflix-dvd-red-envelopes/index.html",NULL
29,"FTC chair Lina Khan warns AI could 'turbocharge' fraud and scams","Artificial intelligence tools such as ChatGPT could lead to a ""turbocharging"" of consumer harms including fraud and scams, and the US government has substantial authority to crack down on AI-driven consumer harms under existing law, members of the Federal Trade Commission said Tuesday.","2023-04-18 17:59:38","https://www.cnn.com/2023/04/18/tech/lina-khan-ai-warning/index.html",NULL
30,"Eating too much of these foods is driving the rise in type 2 diabetes, study says","Gobbling up too many refined wheat and rice products, along with eating too few whole grains, is fueling the growth of new cases of type 2 diabetes worldwide, according to a new study that models data through 2018.","2023-04-17 16:02:46","https://www.cnn.com/2023/04/17/health/rise-type-2-diabetes-global-wellness/index.html",NULL
31,"ADHD medication abuse in schools is a 'wake-up call'","At some middle and high schools in the United States, 1 in 4 teens report they've abused prescription stimulants for attention deficit hyperactivity disorder during the year prior, a new study found.","2023-04-25 17:44:36","https://www.cnn.com/2023/04/18/health/teen-misuse-adhd-meds-wellness/index.html",NULL
32,"Apple CEO was presented with an original Macintosh. See his reaction","CEO Tim Cook personally welcomed customers to the new Apple store in Mumbai as the tech company opens its first retail stores in India. CNN's Vedika Sud reports.","2023-04-18 09:17:25","https://www.cnn.com/videos/tech/2023/04/18/apple-store-mumbai-india-ceo-tim-cook-vedika-sud-ovn-biz-ldn-vpx.cnn",NULL
33,"Democrats bash Justice Clarence Thomas but their plan to investigate ethics allegations is unclear","Senate Democrats railed against Justice Clarence Thomas on Tuesday amid reports that the Supreme Court conservative failed to disclose luxury travel, gifts and a real estate transaction involving a GOP megadonor, but their plan to investigate the conservative jurist remains unclear.","2023-04-18 20:29:46","https://www.cnn.com/2023/04/18/politics/clarence-thomas-ethics-democrats/index.html",NULL
54,"'World's longest' purpose-built cycling tunnel opens in Norway","There are many ways to explore the seven mountains that surround the picturesque UNESCO World Heritage city of Bergen on Norway's fjord-studded west coast. The newest, however, might well be record-breaking.","2023-04-18 10:44:27","https://www.cnn.com/travel/article/worlds-longest-cycling-tunnel/index.html",NULL
